
DATETIME,TIME,LON,LAT,HT,SST
"01-JAN-2011",12053,81.375,17.375,0,-1.E+34  
"01-JAN-2011",12053,81.625,17.375,0,-1.E+34  
"01-JAN-2011",12053,81.875,17.375,0,-1.E+34  
"01-JAN-2011",12053,82.125,17.375,0,-1.E+34  
"01-JAN-2011",12053,82.375,17.375,0,-1.E+34  
"01-JAN-2011",12053,82.625,17.375,0,-1.E+34  
"01-JAN-2011",12053,82.875,17.375,0,25.89  
"01-JAN-2011",12053,83.125,17.375,0,26.14  
"01-JAN-2011",12053,83.375,17.375,0,26.43  
"01-JAN-2011",12053,83.625,17.375,0,26.76  
"01-JAN-2011",12053,83.875,17.375,0,27.1  
"01-JAN-2011",12053,84.125,17.375,0,27.24  
"01-JAN-2011",12053,84.375,17.375,0,27.13  
"01-JAN-2011",12053,84.625,17.375,0,26.97  
"01-JAN-2011",12053,84.875,17.375,0,26.79  
"01-JAN-2011",12053,85.125,17.375,0,26.62  
"01-JAN-2011",12053,85.375,17.375,0,26.47  
"01-JAN-2011",12053,85.625,17.375,0,26.35  
"01-JAN-2011",12053,85.875,17.375,0,26.26  
"01-JAN-2011",12053,86.125,17.375,0,26.14  
"01-JAN-2011",12053,86.375,17.375,0,26.07  
"01-JAN-2011",12053,86.625,17.375,0,26.1  
"01-JAN-2011",12053,86.875,17.375,0,26.27  
"01-JAN-2011",12053,87.125,17.375,0,26.56  
"01-JAN-2011",12053,87.375,17.375,0,26.89  
"01-JAN-2011",12053,81.375,17.625,0,-1.E+34  
"01-JAN-2011",12053,81.625,17.625,0,-1.E+34  
"01-JAN-2011",12053,81.875,17.625,0,-1.E+34  
"01-JAN-2011",12053,82.125,17.625,0,-1.E+34  
"01-JAN-2011",12053,82.375,17.625,0,-1.E+34  
"01-JAN-2011",12053,82.625,17.625,0,-1.E+34  
"01-JAN-2011",12053,82.875,17.625,0,-1.E+34  
"01-JAN-2011",12053,83.125,17.625,0,-1.E+34  
"01-JAN-2011",12053,83.375,17.625,0,26.1  
"01-JAN-2011",12053,83.625,17.625,0,26.29  
"01-JAN-2011",12053,83.875,17.625,0,26.78  
"01-JAN-2011",12053,84.125,17.625,0,27.15  
"01-JAN-2011",12053,84.375,17.625,0,27.29  
"01-JAN-2011",12053,84.625,17.625,0,27.15  
"01-JAN-2011",12053,84.875,17.625,0,26.9  
"01-JAN-2011",12053,85.125,17.625,0,26.7  
"01-JAN-2011",12053,85.375,17.625,0,26.53  
"01-JAN-2011",12053,85.625,17.625,0,26.45  
"01-JAN-2011",12053,85.875,17.625,0,26.35  
"01-JAN-2011",12053,86.125,17.625,0,26.17  
"01-JAN-2011",12053,86.375,17.625,0,26.08  
"01-JAN-2011",12053,86.625,17.625,0,26.09  
"01-JAN-2011",12053,86.875,17.625,0,26.2  
"01-JAN-2011",12053,87.125,17.625,0,26.43  
"01-JAN-2011",12053,87.375,17.625,0,26.72  
"01-JAN-2011",12053,81.375,17.875,0,-1.E+34  
"01-JAN-2011",12053,81.625,17.875,0,-1.E+34  
"01-JAN-2011",12053,81.875,17.875,0,-1.E+34  
"01-JAN-2011",12053,82.125,17.875,0,-1.E+34  
"01-JAN-2011",12053,82.375,17.875,0,-1.E+34  
"01-JAN-2011",12053,82.625,17.875,0,-1.E+34  
"01-JAN-2011",12053,82.875,17.875,0,-1.E+34  
"01-JAN-2011",12053,83.125,17.875,0,-1.E+34  
"01-JAN-2011",12053,83.375,17.875,0,-1.E+34  
"01-JAN-2011",12053,83.625,17.875,0,25.8  
"01-JAN-2011",12053,83.875,17.875,0,26.19  
