
DATETIME,TIME,LON,LAT,HT,SST
"01-JAN-2006",10227,81.375,17.375,0,-1.E+34  
"01-JAN-2006",10227,81.625,17.375,0,-1.E+34  
"01-JAN-2006",10227,81.875,17.375,0,-1.E+34  
"01-JAN-2006",10227,82.125,17.375,0,-1.E+34  
"01-JAN-2006",10227,82.375,17.375,0,-1.E+34  
"01-JAN-2006",10227,82.625,17.375,0,-1.E+34  
"01-JAN-2006",10227,82.875,17.375,0,24.83  
"01-JAN-2006",10227,83.125,17.375,0,25.1  
"01-JAN-2006",10227,83.375,17.375,0,25.43  
"01-JAN-2006",10227,83.625,17.375,0,25.84  
"01-JAN-2006",10227,83.875,17.375,0,26.15  
"01-JAN-2006",10227,84.125,17.375,0,26.39  
"01-JAN-2006",10227,84.375,17.375,0,26.49  
"01-JAN-2006",10227,84.625,17.375,0,26.55  
"01-JAN-2006",10227,84.875,17.375,0,26.56  
"01-JAN-2006",10227,85.125,17.375,0,26.59  
"01-JAN-2006",10227,85.375,17.375,0,26.62  
"01-JAN-2006",10227,85.625,17.375,0,26.58  
"01-JAN-2006",10227,85.875,17.375,0,26.47  
"01-JAN-2006",10227,86.125,17.375,0,26.37  
"01-JAN-2006",10227,86.375,17.375,0,26.33  
"01-JAN-2006",10227,86.625,17.375,0,26.32  
"01-JAN-2006",10227,86.875,17.375,0,26.33  
"01-JAN-2006",10227,87.125,17.375,0,26.33  
"01-JAN-2006",10227,87.375,17.375,0,26.26  
"01-JAN-2006",10227,81.375,17.625,0,-1.E+34  
"01-JAN-2006",10227,81.625,17.625,0,-1.E+34  
"01-JAN-2006",10227,81.875,17.625,0,-1.E+34  
"01-JAN-2006",10227,82.125,17.625,0,-1.E+34  
"01-JAN-2006",10227,82.375,17.625,0,-1.E+34  
"01-JAN-2006",10227,82.625,17.625,0,-1.E+34  
"01-JAN-2006",10227,82.875,17.625,0,-1.E+34  
"01-JAN-2006",10227,83.125,17.625,0,-1.E+34  
"01-JAN-2006",10227,83.375,17.625,0,24.75  
"01-JAN-2006",10227,83.625,17.625,0,25.1  
"01-JAN-2006",10227,83.875,17.625,0,25.48  
"01-JAN-2006",10227,84.125,17.625,0,25.86  
"01-JAN-2006",10227,84.375,17.625,0,26.19  
"01-JAN-2006",10227,84.625,17.625,0,26.39  
"01-JAN-2006",10227,84.875,17.625,0,26.59  
"01-JAN-2006",10227,85.125,17.625,0,26.66  
"01-JAN-2006",10227,85.375,17.625,0,26.64  
"01-JAN-2006",10227,85.625,17.625,0,26.65  
"01-JAN-2006",10227,85.875,17.625,0,26.58  
"01-JAN-2006",10227,86.125,17.625,0,26.48  
"01-JAN-2006",10227,86.375,17.625,0,26.4  
"01-JAN-2006",10227,86.625,17.625,0,26.36  
"01-JAN-2006",10227,86.875,17.625,0,26.34  
"01-JAN-2006",10227,87.125,17.625,0,26.27  
"01-JAN-2006",10227,87.375,17.625,0,26.16  
"01-JAN-2006",10227,81.375,17.875,0,-1.E+34  
"01-JAN-2006",10227,81.625,17.875,0,-1.E+34  
"01-JAN-2006",10227,81.875,17.875,0,-1.E+34  
"01-JAN-2006",10227,82.125,17.875,0,-1.E+34  
"01-JAN-2006",10227,82.375,17.875,0,-1.E+34  
"01-JAN-2006",10227,82.625,17.875,0,-1.E+34  
"01-JAN-2006",10227,82.875,17.875,0,-1.E+34  
"01-JAN-2006",10227,83.125,17.875,0,-1.E+34  
"01-JAN-2006",10227,83.375,17.875,0,-1.E+34  
"01-JAN-2006",10227,83.625,17.875,0,24.59  
"01-JAN-2006",10227,83.875,17.875,0,24.86  
"01-JAN-2006",10227,84.125,17.875,0,25.31  
"01-JAN-2006",10227,84.375,17.875,0,25.86  
"01-JAN-2006",10227,84.625,17.875,0,26.16  
"01-JAN-2006",10227,84.875,17.875,0,26.55  
"01-JAN-2006",10227,85.125,17.875,0,26.65  
"01-JAN-2006",10227,85.375,17.875,0,26.64  
"01-JAN-2006",10227,85.625,17.875,0,26.68  
"01-JAN-2006",10227,85.875,17.875,0,26.62  
"01-JAN-2006",10227,86.125,17.875,0,26.51  
"01-JAN-2006",10227,86.375,17.875,0,26.39  
"01-JAN-2006",10227,86.625,17.875,0,26.32  
"01-JAN-2006",10227,86.875,17.875,0,26.27  
"01-JAN-2006",10227,87.125,17.875,0,26.17  
"01-JAN-2006",10227,87.375,17.875,0,26.02  
"01-JAN-2006",10227,81.375,18.125,0,-1.E+34  
"01-JAN-2006",10227,81.625,18.125,0,-1.E+34  
"01-JAN-2006",10227,81.875,18.125,0,-1.E+34  
"01-JAN-2006",10227,82.125,18.125,0,-1.E+34  
"01-JAN-2006",10227,82.375,18.125,0,-1.E+34  
"01-JAN-2006",10227,82.625,18.125,0,-1.E+34  
"01-JAN-2006",10227,82.875,18.125,0,-1.E+34  
"01-JAN-2006",10227,83.125,18.125,0,-1.E+34  
"01-JAN-2006",10227,83.375,18.125,0,-1.E+34  
"01-JAN-2006",10227,83.625,18.125,0,-1.E+34  
"01-JAN-2006",10227,83.875,18.125,0,24.55  
"01-JAN-2006",10227,84.125,18.125,0,24.98  
"01-JAN-2006",10227,84.375,18.125,0,25.62  
"01-JAN-2006",10227,84.625,18.125,0,26.3  
"01-JAN-2006",10227,84.875,18.125,0,26.56  
"01-JAN-2006",10227,85.125,18.125,0,26.68  
"01-JAN-2006",10227,85.375,18.125,0,26.64  
"01-JAN-2006",10227,85.625,18.125,0,26.65  
